id,status,confidence,name_sim,distance_m,old_name,google_name,name_updated,old_address,new_address,coords_fixed,reason
1334,no_match,0.2,0.200,1807,meroll סושי ביתי,Loti-Roll,no,"פטיו 1167, אילת, Israel",,no,dist=1807m name=0.20 no-match
1335,no_match,0.2,1.000,1307,החצ'פורי,בית החצ'פורי,no,"מונטיפיורי 1, באר שבע, Israel",,no,dist=1307m name=1.00 no-match
1336,no_match,0.2,0.500,1134,דוקטור פלאפל,פלאפל בראשית,no,"גשר עד הלום 3, אשדוד, Israel",,no,dist=1134m name=0.50 no-match
1337,flagged,0.6,0.077,7,קפה קפה,Coffee Coffee,no,"בעלי המלאכה 203, צים סנטר נתיבות, Israel",,no,dist=7m name=0.08 proximity-name-mismatch
1338,flagged,0.4,1.000,17,פיצה טו גו,פיצה טו-גו,no,"אלי כהן 21, אשקלון, Israel",,no,dist=17m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
1339,no_match,0.2,0.583,1395,מורן בוארון,שניצל בוארון,no,"אלי כהן 10, אשקלון, Israel",,no,dist=1395m name=0.58 no-match
1340,verified,0.88,0.667,179,פפה לאון רמות,פפה לאון באר שבע,no,"אוסקר שינדלר 21, באר שבע, Israel","Oskar Schindler St 21, Be'er Sheva, Israel",yes,dist=179m name=0.67 near+name
1341,flagged,0.6,0.154,25,הבריקס,רינגלבלום 13 בר מסעדה כשר באר שבע,no,"רינגלבלום 16, באר שבע, Israel",,no,dist=25m name=0.15 proximity-name-mismatch
1342,verified,0.95,0.667,20,אפטר פיצה בר,After Pizza Bar,no,"שלושת בני עין חרוד 85, באר שבע, Israel","Shloshet Bnei Ein Kharod St 76, Be'er Sheva, 84205, Israel",yes,dist=20m name=0.67 close-proximity
1343,flagged,0.4,1.000,2000,גלידה מרג'לטו,גלידה מרג'לטו Gelateria Margelato,no,"שד' יוהנה ז'בוטינסקי 13, באר שבע, Israel",,no,dist=2000m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
1344,verified,0.95,0.333,42,מסעדת אבו,Abu Choo House,no,"בן יהודה 13, פרץ סנטר שדרות, Israel","Ben Yehuda St 13, Sderot, 80100, Israel",yes,dist=42m name=0.33 close-proximity
1345,flagged,0.7,0.417,182,קבב אמונה באר שבע,Kabab Emuna,no,"קק""ל 58, באר שבע, Israel",,no,dist=182m name=0.42 needs-review
1346,no_match,0.2,0.522,1221,קייטרינג אהרון,פרנקו קייטרינג ואירועים,no,"מגידו 5, אשקלון, Israel",,no,dist=1221m name=0.52 no-match
1347,flagged,0.7,1.000,477,YAKITORI,יאקיטורי סושי - Yakitori Sushi,no,"שד' מנחם בגין 28, שדרות, Israel",,no,dist=477m name=1.00 needs-review
1348,no_match,0.2,0.000,513,קפה לביא,Mall 7 shopping Center,no,"הע""ל 30, מול 7 MALL, באר שבע, Israel",,no,dist=513m name=0.00 no-match
1349,no_match,0.2,0.556,2048,Georgio restaurant italien,ג'ורג'יו קפה- מסעדה איטלקית,no,"אשקלון, Israel",,no,dist=2048m name=0.56 no-match
1350,flagged,0.4,0.500,453,ג'ויה סושי בר,ג'ויה קרית גת,no,"דרך הדרום 9, קריית גת, Israel",,no,dist=453m name=0.50 business=CLOSED_PERMANENTLY (non-operational)
1352,no_match,0.2,,,cofix,,no,"שד' יוהנה ז'בוטינסקי 9, באר שבע, Israel",,no,no-candidate
1353,no_match,0.2,0.111,296,pizza 2 face,Paco ve Nany | פקו ונני - Local Pizzeria,no,"נחל צייה 7, מרכז מסחרי מצפה רמון, Israel",,no,dist=296m name=0.11 no-match
1354,flagged,0.4,1.000,95,קנזס בורגר&סלט בהרכבה באר שבע,קנזס בורגר בר,no,"יצחק אבינו 5, באר שבע, Israel",,no,dist=95m name=1.00 business=CLOSED_PERMANENTLY (non-operational)
